,title,level,notes,score
1,A,12,1260,2500
2,AA,12,1834,3660
3,AA -rebuild-,12,1820,3625
4,Abraxas,11,1241,2464
5,ABSOLUTE,10,1218,2430
6,ABSOLUTE (kors k Remix),11,1336,2657
7,ABSOLUTE EVIL,12,1778,3517
8,abstract,9,960,1916
9,Abyss,8,945,1890
10,Abyss-The Heavens Remix-,10,1188,2374
11,ACCELERATE,10,1261,2517
12,Acid Pumper,11,1267,2512
13,ACT,9,935,1865
14,Adularia,12,1449,2891
15,Advent Infamous,11,1454,2906
16,Aegis,11,1202,2384
17,AFRO KNUCKLE,11,1226,2446
18,Afterimage d'automne,11,1480,2912
19,Aftermath,12,1828,3631
20,AGEHA,9,948,1896
21,Agnus Dei,10,1051,2099
22,Ah Hah Yeah,11,1108,2191
23,Air Bell,8,868,1734
24,AIR RAID FROM THA UNDAGROUND,11,1189,2370
25,airflow,7,721,1440
26,AKASHIC BREAK,12,1823,3636
27,ALBA -黎明-,11,1631,3254
28,ALBIDA,12,1530,3047
29,ALFARSHEAR 双神威に廻る夢,10,1049,2098
30,ALIEN TEMPLE,8,1021,2040
31,ALL I NEED YOUR LOVE,9,1081,2159
32,ALL MY TURN -このターンに、オレの全てを賭ける-,11,1314,2622
33,ALL RIGHT,9,815,1630
34,alla turca con passione,10,1103,2203
35,Almace,10,1012,2022
36,Almagest,12,1629,3216
37,Alpheratz,9,1049,2098
38,ALTERNATOR,12,1907,3790
39,Amazing Mirage,11,1343,2672
40,Ambush Ace,11,1492,2977
41,AMICABLE,10,1259,2510
42,Amor De Verao,11,1193,2373
43,AMRITA -不滅ノ花-,11,1398,2793
44,ANAGMA,10,1339,2665
45,ANAGRAMS I to Y,9,1245,2488
46,ANCHOR,12,1835,3648
47,Ancient Scapes,12,1780,3532
48,And-RoiD,9,1008,2016
49,ANDROMEDA,11,1446,2889
50,ANDROMEDA II,10,1255,2508
51,ANEMONE,10,1069,2138
52,Angel's Ladder,12,1800,3543
53,Angelic Jelly,11,1419,2825
54,Anisakis -somatic mutation type"Forza"-,11,1443,2877
55,Answer,10,1224,2444
56,ANTHEM LANDING,11,1484,2964
57,anthracene,12,1744,3465
58,Antigravity,12,1591,3143
59,AO-1,12,1443,2846
60,AO-∞,10,1375,2729
61,apo:llioth,11,1498,2984
62,Apocalypse,12,1814,3610
63,Apocalypse ～dirge of swans～,10,1214,2424
64,Arabian Rave Night,11,1504,2985
65,Arca,12,1602,3193
66,Arcana,10,1150,2297
67,Ariah,10,1090,2179
68,Arkadia,12,1873,3737
69,Around the Future,11,1329,2640
70,Around The Galaxy,11,1714,3422
71,Artist,12,1870,3663
72,As You Want,10,1246,2479
73,Ascalon,10,1171,2333
74,AsiaN distractive,11,1337,2659
75,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),12,1752,3440
76,ASTRAL VOYAGE,9,971,1938
77,ATOMIC AGE,9,679,1342
78,Attitude,9,881,1762
79,Aublia,11,1299,2585
80,Aurora,11,1280,2559
81,avant-guerre,10,982,1955
82,AVE DE RAPINA,9,934,1859
83,AWA AWA,10,1169,2333
84,awakening,10,866,1728
85,B.O.D.Y.,12,1734,3448
86,B4U,10,1014,2026
87,B4U(BEMANI FOR YOU MIX),11,1810,3605
88,BabeL ～Grand Story～,11,1432,2842
89,BABY LOVE,10,1089,2171
90,Back Into The Light,10,1086,2170
91,Back Spin Sweeper,11,1156,2307
92,Backyard Stars,10,1155,2283
93,BAD BOY BASS!! (dj Remo-con MIX),8,908,1815
94,Bad Encryption,12,1633,3231
95,Bad Maniacs,12,1656,3290
96,Bad Routine,9,964,1927
97,bag,10,963,1924
98,Bahram Attack-猫叉Master Remix-,10,1314,2626
99,BALLAD FOR YOU ～想いの雨～,7,537,1074
100,BALLAD THE FEATHERS,8,764,1528
101,Banger Banger Banger Banger,11,1497,2983
102,bass 2 bass,10,970,1931
103,Battle Train -IIDX Edition-,11,1687,3320
104,Battleground,11,1361,2717
105,Be a Hero!,11,1592,3162
106,Be A Star,11,1413,2823
107,Be OK,10,1215,2427
108,Be quiet,11,1114,2228
109,Beast mode,11,1395,2777
110,Beastie Starter,11,1121,2214
111,Beat Juggling Mix,11,1138,2248
112,BEAT PRISONER,12,1844,3661
113,Beat Radiance,10,1335,2663
114,beatAffection,10,1341,2675
115,beatchic☆仮面～好き、でいさせて～,9,1017,2030
116,beatonic nation,9,1093,2182
117,BEAUTIFUL ANGEL,10,1254,2503
118,Beautiful Harmony (IIDX Mix),10,1246,2488
119,being torn the sky,10,998,1993
120,Believe In Me,11,1213,2415
121,Believe in you,10,1226,2452
122,BEMANI PRO LEAGUE Theme,9,996,1988
123,Best of Me,10,1127,2247
124,Beyond Evolution,12,2216,4269
125,Beyond The Earth,11,1646,3260
