,title,level,notes,score
1,Hitch Hiker2,9,976,1951
2,chrono diver -fragment-,10,1134,2267
3,Damage Per Second,10,1153,2304
4,Howling,10,1350,2695
5,LOVE IS ORANGE,10,1059,2116
6,LUV CAN SAVE U,10,1409,2816
7,Mind Mapping,10,1135,2264
8,NΦ CRIME,10,1211,2422
9,RIDE ON THE LIGHT (HI GREAT MIX),10,931,1857
10,踊,10,1063,2121
11,おおきなこえで,10,1095,2177
12,翼,10,1258,2513
13,ABSOLUTE,11,1412,2806
14,AGEHA,11,1232,2458
15,Bahram Attack-猫叉Master Remix-,11,1640,3279
16,Be OK,11,1679,3349
17,Buffalo,11,1287,2556
18,Chronos,11,1538,3058
19,Clione,11,1102,2195
20,Element of SPADA,11,1560,3118
21,Flash Back 90's,11,1470,2931
22,GIGANT,11,1484,2956
23,Golden Palms,11,1240,2458
24,Hydrogen Blueback,11,1241,2469
25,Journey,11,1585,3162
26,naughty girl@Queen's Palace,11,1380,2744
27,POODLE,11,1707,3412
28,Psycho Sheep Riddim,11,1150,2295
29,RUGGED ASH,11,1058,2076
30,the trigger of innocence,11,1558,3115
31,Wanna Party?,11,1300,2600
32,WISE UP!,11,1320,2634
33,ベィスドロップ・フリークス,11,1275,2511
34,冬椿 ft. Kanae Asaba,11,1535,3059
35,恋は白帯、サンシロー,11,1395,2789
36,朧,11,1280,2560
37,凛として咲く花の如く,11,1595,3190
38,シル・ヴ・プレジデント,11,1299,2595
39,AIR RAID FROM THA UNDAGROUND,12,1523,3018
40,Amazing Mirage,12,1684,3346
41,Ancient Scapes,12,2198,4340
42,Anisakis -somatic mutation type"Forza"-,12,1971,3913
43,Arabian Rave Night,12,1888,3740
44,B4U(BEMANI FOR YOU MIX),12,2360,4664
45,Be quiet,12,1463,2907
46,Beat Radiance,12,1809,3603
47,Blue Rain,12,1702,3386
48,BroGamer,12,2383,4724
49,Burning Flame,12,1938,3850
50,CHRONO DIVER -NORNIR-,12,2233,4447
51,Close the World feat.a☆ru,12,1983,3949
52,CONTRACT,12,1418,2825
53,Cosmic Cat,12,1651,3288
54,EBONY & IVORY,12,1887,3705
55,Elektrick U-Phoria,12,2050,4081
56,Feel The Beat,12,2225,4418
57,four pieces of heaven,12,1518,3016
58,Ganymede,12,1356,2665
59,GRID KNIGHT,12,1744,3488
60,GuNGNiR,12,2443,4795
61,ICARUS,12,2000,3884
62,Illegal Function Call,12,2023,3912
63,invoker,12,1851,3664
64,KAISER PHOENIX,12,2026,4013
65,KAMAITACHI,12,2000,3952
66,Kung-fu Empire,12,1999,3974
67,Little Little Princess,12,1946,3860
68,Marie Antoinette,12,1618,3227
69,NEW GENERATION -もう、お前しか見えない-,12,1895,3734
70,Override,12,2204,4363
71,Phoenix,12,2027,4028
72,QUANTUM TELEPORTATION,12,1845,3674
73,RED ZONE,12,1566,3120
74,REVOLVER,12,1731,3396
75,SAMURAI-Scramble,12,1576,3048
76,Scripted Connection⇒ A mix,12,1749,3488
77,Secrets,12,2116,4215
78,Sigmund,12,2267,4438
79,snow storm,12,1709,3415
80,SOLID STATE SQUAD,12,1868,3718
81,spiral galaxy,12,1910,3809
82,STARLIGHT DANCEHALL,12,1712,3387
83,STEEL NEEDLE,12,1701,3386
84,Sweet Clapper,12,1485,2953
85,THANK YOU FOR PLAYING,12,1534,3043
86,THE DEEP STRIKER,12,1778,3552
87,The Limbo,12,2190,4347
88,thunder HOUSE NATION Remix,12,1954,3905
89,Time to Air,12,1888,3742
90,TITANS RETURN,12,1377,2696
91,TRANOID,12,1546,3064
92,Twelfth Style,12,1684,3331
93,Ubertreffen,12,1655,3300
94,Umbral,12,1566,3111
95,VANESSA,12,1771,3493
96,Verflucht,12,2401,4773
97,Violet Pulse,12,2115,4158
98,waxing and wanding,12,2000,3991
99,Welcome,12,1701,3369
100,Ypsilon,12,1801,3574
101,ZEPHYRANTHES,12,1982,3941
102,デモーニッシュ,12,1580,3143
103,龍と少女とデコヒーレンス,12,1713,3406
104,ΕΛΠΙΣ,12,1852,3662
105,華爛漫 -Flowers-,12,1597,3194
106,ハイテックトキオ,12,1657,3291
107,お米の美味しい炊き方、そしてお米を食べることによるその効果。,12,1907,3777
108,君のハートにロックオン,12,1828,3580
109,疾風迅雷,12,1824,3551
110,龍王の霊廟(Mausoleum Of The Primal Dragon),12,2023,4041
111,ミラージュ・レジデンス,12,1676,3333
112,千年ノ理,12,2183,4346
113,仮想空間の旅人たち,12,1943,3885
114,廿,12,1731,3419
115,超青少年ノ為ノ超多幸ナ超古典的超舞曲,12,2110,4178
